name,items,retail_value,price,value_ratio
Kangaroo Beach Bag,"1x Kangaroo Beach Carry Bag $4.95
1x Kangaroo Beach - Beach Towel $15.95
1x Kangaroo Beach Decal Ball $3.00
1x Kangaroo Beach Sticker Scene $2.00
1x Kangaroo Beach Magnetic Puzzle $2.00
1x Kangaroo Beach Bucket and Wooden Spade $9.95",37.85,20.0,1.8925
Emergency Rescue,"1x Emergency Rescue Set with Chainsaw and Axe   $6.95
1x  Fireman's Helmet $8.95
1x Fire Extinguisher $2.95
1x Fire Engine with Extendable Ladder   $15.95
1x Firemen Set  $9.95
1x Diecast Fire Rescue Vehicle $2.95
1x Fire Rescue Helicoper $8.95",56.65,30.0,1.8883333333333332
Super Kit Kat,"1x Kit Kat 4 Finger Gold 45g $2.20
1x Kit Kat Smooth Hazelnut 45g $2.20
18x Kit Kat 17g $0.60
1x Choose one - Kit Kat Thermal Bottle OR Kit Kat Headphones OR Kit Kat Block 180g OR Kit Kat Mini Eggs 110g $15.00",30.2,16.0,1.8875
Rude Dudes,"1x TNT Mega Sour Slime $2.00
1x Sticky Hand $3.95
1x TNT Stipple Rope $1.00
3x Rude Dudes Pig Farts $0.20
3x Rude Dudes Possum Poop $0.20
3x Rude Dudes Bulls Balls $0.20
3x Rude Dude Bum Blasters $0.20",9.35,5.0,1.8699999999999999
The Mandalorian Bag,"1x Mandalorian Carry Bag $4.95
1x Mandalorian Backpack $19.95
1x Mandalorian Wall Stickers $9.95
1x Mandalorian 100 Piece Jigsaw Puzzle $10.95
1x Mandalorian Child Soft Toy $9.95",55.75,30.0,1.8583333333333334
Mega Pony,"1x  Large Pony Castle with Ponies Play Set $30.00
1x  Pony Carriage with Doll $20.00
1x Happy Horse Set $15.00",65.0,35.0,1.8571428571428572
Mega Cars,"1x Racing car  $15.00
1x Large R/C Semi Trailer $40.00
1x 2pc Mini Speed Trucks $10.00",65.0,35.0,1.8571428571428572
Scooby Doo Bag,"1x Scooby Doo Carry Bag $5.95
1x Scooby Doo Door Basket Ball Set $19.95
1x Scooby Doo Bubble Gun $9.95
1x Scooby Doo Slide Show Projector Torch $5.95
1x Scooby Doo Soft Toy $9.95
1x Scooby Doo Water Game $3.95",55.7,30.0,1.8566666666666667
NRL State of Origin QLD,"1x SOO QLD Badges $4.95
1x SOO QLD Cap $12.95
1x SOO QLD Car Sign $4.95
1x SOO QLD Cooler Bag $9.95
1x SOO QLD Decals $4.95
1x SOO QLD Keyring $3.95
1x SOO QLD Sipper $9.95
1x SOO QLD Tattoos $3.95
SOO QLD Tote Bag $4.95",55.6,30.0,1.8533333333333333
Candyworld 6 in 1 Bag,"STICKS N BARS BAG 
10x Fizzy Splash Bars $0.20
10x Fruit Treat Chews $0.10
SHERBET BAG 
5x Wizz Fizz Sherbets $0.50
BUBBLEGUM BAG 
20x Tiger Gum $0.10
LOLLIPOP BAG 
7x 10g Flat Lollipops $0.20
CHOCOLATE BAG 
1x 13.5g M&M'S®FUNSIZE® $0.65
1x 16g MARS®FUNSIZE® $0.65
2x 12g MILKY WAY®FUNSIZE® $0.65
CANDY BAG 
20x Fizzy Friends Candy $0.20
1x Wizz Fizz Inflatable Hammer $3.00",18.5,10.0,1.85
Bertie Beetle Platinum,"15x Bertie Beetle 10g $0.80
4x Kit Kat 17g $0.65
Spend $35 or more on our Bertie Beetle range to SPIN & WIN prizes from our chocolate wheel, located at the Bertie Beetle Stand in the Showbag Pavilion. ",14.6,8.0,1.825
Wild West,"1x Wild West Hunting Rifle with Scope $10.95
1x Wild West Shotgun  $9.95
1x Cowboy Set $3.95
1x Indian Set $3.95
1x Cowboy Hat $8.95
1x Bow and Arrow Set $7.95
1x Cowboy Set with Sword $8.95",54.65,30.0,1.8216666666666665
JO JO Silwa Bag,"1x Jo Jo Silwa Carry Bag $4.95
1x Jo Jo Sequin Backpack $19.95
1x Jo Jo Keychain $5.95
1x Jo Jo Coin Purse $3.95
2x Jo Jo Lip Gloss $1.95
1x Jo Jo Sequin Giant Bow Hair Clip $5.95
1x Jo Jo Sequin Metallic Hat $9.95
 ",54.6,30.0,1.82
Army,"1x Army Camouflage Cap $5.95
1x Army Sniper Rifle $9.95
1x Camouflage Binoculars $2.95
1x Military Police Gun $7.95
1x Army Action Figure $2.95
1x Camouflage Backpack $18.95
2x Die Cast Army Vehicles $2.95",54.6,30.0,1.82
World's Biggest Jumbo,"1x Cosmic Giant Gorilla Bubble Gum Stick $3.00
8x Wizz Fizz Original Flavour $0.75
1x Soft Drink $3.00
18x Warheads $0.25
10x Zappo Drops $0.15
25x Ghost Drops $0.15
1x 15g Fairy Floss $1.20
1x Yupi Pizza $0.80
1x JJ Noodle Chicken Snack 20g $0.80
1x Karate Roller Rainbow $0.80
1x Icky Stick Hand $3.95
1x Whoopie Cushion $4.95
1x Karate Roller Strawberry $0.80
2x Yupi Baby Bears 10g $0.35
6x Magic Popping Dips $0.30
1x Large Inflatable ""World`s Biggest Jumbo"" Bat $6.00
1x Cosmic Sour Powder Finger Pop $1.50",45.05,25.0,1.8019999999999998
Sesame Street,"1x Sesame Street Activity Set $4.95
1x Sesame Street Backpack $19.95
1x Sesame Drink Bottle $7.95
1x Sesame Street Headband $4.95
1x Sesame Street Lunchbox Set $9.95
1x Sesame Street Tote Bag $4.95
1x Sesame Street Play Ball $4.95",57.65,32.0,1.8015625
Cadbury Dairy Milk,"11x 12g Bite Size Dairy Milk  $0.60
1x 15g Bite Size Crunchie $0.60
1x 15gm Bite Size Cherry Ripe $0.60
1x 15gm Bite Size Twirl $0.60
1x 15g Bite Size Boost $0.60
SHOW SPECIAL - PURCHASE ANY 3 BAGS FOR $12.00 (FROM THE $5 CADBURY RANGE) 
CHOOSE FROM: 
CADBURY DAIRY MILK $5, CHERRY RIPE $5, TWIRL $5, PICNIC $5, 
TURKISH DELIGHT $5, CURLY WURLY $5, CRUNCHIE $5, FREDDO $5 
CARAMELLO $5, FURRY FRIENDS $5, ",9.0,5.0,1.8
Ninja Power,"1x Ninja Backpack Holster with Swords and Knives $15.95
1x Set of 5 Ninja Warriors $2.95
1x Ninja Bow and Arrow Set $15.95
1x Ninja Weapon Set $9.95",44.8,25.0,1.7919999999999998
Care Bears Bag,"1x Care Bears Carry bag $4.95
1x Care Bears Shoulder Bag $19.95
1x Care Bears Plush Journal $9.95
1x Care Bears Pom Pom Pen $2.00
1x Care Bears Headphones $15.95
1x Care Bears Hangtag Soft Toy $9.50",62.3,35.0,1.78
Bertie Beetle Diamond Deal,"40x Bertie Beetle 10g $0.80
Spend $35 or more on our Bertie Beetle range to SPIN & WIN prizes from our chocolate wheel, located at the Bertie Beetle Stand in the Showbag Pavilion. ",32.0,18.0,1.7777777777777777
Bertie Beetle Gold,"11x Bertie Beetle 10g $0.80
Spend $35 or more on our Bertie Beetle range to SPIN & WIN prizes from our chocolate wheel, located at the Bertie Beetle Stand in the Showbag Pavilion. ",8.8,5.0,1.7600000000000002
Mermaid Tails,"1x Mermaid Shimmer Backpack $15.95
1x Mermaid Necklace and Bracelet $2.95
1x Mermaid 2 Piece Hair $2.95
1x Mermaid Tail Handbag $3.95
1x Mermaid Temporary Tattoos $1.95
1x Mermaid Face Jewels $2.95
1x Mermaid Glow In the Dark Sticker $3.95
1x Mermaid Notebook $1.95
1x Mermaid Pen $2.95
1x Plush Mermaid $12.95",52.5,30.0,1.75
Arnott's Shapes,"1x Arnott's Shapes Pizza 190g $3.50
1x Arnott's Shapes Chicken Crimpy 175g $3.50
1x Arnott's Shapes BBQ 175g $3.50
1x Arnott's Shapes Fully Loaded Wicked Sweet Chilli 130g $3.50
1x Arnott's Shapes Fully Loaded Ulitmate Cheese 130g $3.50",17.5,10.0,1.75
Nickelodeon Slime,"1x Nickelodeon Slime 300g Slime $4.95
1x Nickelodeon DIY Neon Slime $4.95
1x Nickelodeon Shaker Slime $4.95
1x Nickelodeon Slime Pack $9.95
1x Nickelodeon Mesh Ball $4.95
1x Nickelodeon Slime Tote Bag $4.95",34.7,20.0,1.735
SKITTLES Super Bag,"11x 15g SKITTLES® FRUITS  $0.65
11x 15g SKITTLES® SOURS $0.65
10x 15g SKITTLES® WILDBERRY $0.65",20.8,12.0,1.7333333333333334
Toxic Waste,"7x 20g Toxic Waste Sludge Sour Apple Bars  $0.50
2x 57g Toxic Waste Smog Balls $4.00
1x 48g Toxic Waste Drum $1.75
12x 12g Toxic Waste Smog Ball Shooters $0.25
10x 3g Toxic Waste Sour Candy Pieces - Asst Flavours $0.10",17.25,10.0,1.725
Cadbury Giant Freddo and Friends,"1x 35g Giant Freddo $1.00
8x 12g Dairy Milk Freddo $0.70
2x 12g Milky Top Freddo $0.70
2x 15g Caramello Koala $0.70
4x 15g Bite Size Dairy Milk $0.60
2x 15g Strawberry Freddo $0.70
1x 21.5 Curly Wurly $1.00
1x Playing Cards $2.95",17.15,10.0,1.7149999999999999
Mega Fairy,"1x Large fairy castle play set $30.00
1x Mermaid dress up set $15.00
1x Butterfly Fairy Doll $15.00",60.0,35.0,1.7142857142857142
Mega Dolls,"1x Large Dolls Stroller $25.00
1x Large Plush Doll $20.00
1x Dolls and Accessory Set $15.00",60.0,35.0,1.7142857142857142
Cadbury Flake Superbag,"1x 150g Cadbury Flake Bites $5.00
7x 14g Bite Size Flake $0.60
8x 12g Bite Size Dairy Milk $0.60
1x Playing Cards $2.95",16.95,10.0,1.6949999999999998
Cadbury Caramello Superbag,"1x 35g Giant Caramello  $1.00
2x 21.5g Curly Wurly $1.00
10x 15g Caramello Koala  $0.70
5x 12g Bite Size Dairy Milk  $0.60
1x 30g Chomp $1.00
1x Playing Cards $2.95",16.95,10.0,1.6949999999999998
The Wiggles Bag,"1x Wiggles Carry Bag $5.95
1x Wiggles Drum Set $9.95
1x Wiggles Bells Shaker $9.95
1x Wiggles Xylophone $12.95
1x Wiggles Egg Shaped Sharker $5.95
1x Wiggles Music Puzzle $5.95",50.7,30.0,1.6900000000000002
Super Slime,"1x Neon Slime $2.95
1x Neon Putty $2.95
1x Star Putty $4.95
1x Rainbow Poop Stress Toy $4.95
1x Flow Go Large $4.95
1x Squish Balls $4.95
1x Slime Tote Bag $2.95
1x Puff Slime $4.95",33.6,20.0,1.6800000000000002
Big Boss Bag,"1x 125gm Big Boss Fruit Sticks $2.50
1x 125gm Big Boss Musk Sticks $2.50
1x 125gm Big Boss Caramel Sticks $2.50
5x Wizz Fizz Sherbets $0.50",10.0,6.0,1.6666666666666667
Looney Tunes Bag,"1x Looney Tunes Carry Bag $4.95
1x Looney Tunes Bubble Gun $9.50
1x Looney Tunes Projector Torch $5.95
1x Looney Tunes Water Game $3.95
1x Looney Tunes Door Basketball Set $15.95
1x Tweety Soft Toy $9.50",49.8,30.0,1.66
Jumbo Gummy,"1x Yupy Mega Pizza 90g $5.95
1x Karate Roller Rainbow $0.60
1x Karate Roller Strawberry $0.60
9x Yupi Cola Bottles 10g $0.35
9x Yupi Neon Stix 10g $0.35
9x Yupi Baby Bears 10g $0.35
1x Ghost Drops10 Pack $1.25
1x 250g Strawberry Heart Marshmallows $5.95
1x Snappy Wrist Band $2.50
1x Big Yupi Burger $1.00
1x Big Yupi Frank $1.00
1x Giant Yupi Cola Bottle $1.20
1x Cosmic Sour Foam Candy Bottle $2.00
1x Rainbow Karate Belts $3.95
1x 140g Haribo Sour S'Ghetti $5.95",41.4,25.0,1.656
Hot Wheels Monster Trucks,"1x Hot Wheels MT Gliders $9.95
1x Hot Wheels MT Activity Pack $4.95
1x Hot Wheels MT Cap $12.95
1x Hot Wheels MT Slap Band $7.95
1x Hot Wheels MT Tattoos $3.95
1x Hot Wheels MT Vehicle *style may vary $7.95
1x Hot Wheels MT Tote Bag $4.95",52.65,32.0,1.6453125
Warning Raging Sour,"18x Warheads $0.25
1x Big Tooth Bubble Gum $2.00
1x Karate Roller Strawberry $0.80
1x Karate Roller Rainbow $0.80",8.1,5.0,1.6199999999999999
All American Sours,"1x Warheads Ooze Chews 99g Box $5.95
1x Warheads Sour Jelly Beans 113g Box $5.95
1x Swedish Fish 88g Box $5.95
1x Sour Patch Kids 99g Box $5.95
1x Mike and Ike Sour Mega Mix 141g Box $5.95
1x Twizzlers 70g $4.50
1x Warheads Sour Soda $5.95",40.2,25.0,1.608
Jumbo Mega Warheads,"14x 2.3g Mega Warheads Assorted $0.15
1x 30ml Warheads Sour Spray Candy $2.40
1x 30ml Warheads Double Drops $2.40
1x 49g Warheads Juniors $2.40
1x 28g Warheads Candy $1.75
3x 15g Warheads Cubes $0.50
3x 15g Warheads All Mix Up $0.35
3x 6g Warheads Colossal $0.15
4x 15g Warheads Sour Bombs $0.50",16.05,10.0,1.605
Fish 'n' Reel Showbag - For Beginner Fishing Enthusiasts,"1x Fish 'n' Reel Drawstring Bag $9.95
1x 130 pc Kid's Fish Kit (includes 10 x Barrel Swivels 20 X Beads 2 x Bobber Floats 4 x Soft Plastics 2 x Jig Heads 1 x Metal Lure 1 x Sharkie Fish Float 1 x Scaler 1 x 4” Rigged Handcaster 4 x Fish Stickers 45 X Assorted Hooks 40 X Assorted Sinkers 1 X Brag Mat  ) $18.00
1x Rainbow Trout Fish Decal Vinyl $6.99
1x Northfolk Hand Sanitiser 100ml $8.17",43.11,27.0,1.5966666666666667
Baby Shark Bag,"1x Baby Shark Carry Bag $5.95
1x Baby Shark Backpack $12.95
1x Baby Shark Bucket Hat $9.95
1x Baby Shark Water Art Set $5.95
1x Baby Shark Adhesive Foam Stickers 30pce Set $2.95
1x Baby Shark Soft Toy $9.95",47.7,30.0,1.59
Super Smarties,"3x Smarties Carton 50g $1.20
6x Smarties 11g $0.60
4x Bertie Beetle 10g $0.80
1x Smarties Reusable Smoothie Cup OR Smarties Dispenser OR Smarties Chocolate Block 180g OR Smarties Mini Eggs 110g (Choose one) $15.00",25.4,16.0,1.5875
Full o Fizz,"8x Wizz Fizz Original Flavour $0.75
1x Cosmic Sour Powder Finger Dip $1.50
1x Triple Dipper $1.20
6x Magic Popping Candy $0.10
1x Ghost Drops 10 pack $1.00
1x Sticky Hand $2.95
1x Cosmic JOOP Slime $2.00
1x Rainbow Karate Roller $0.60",15.85,10.0,1.585
Mega Warheads,"12x 3.2g Mega Warheads Assorted $0.16
1x 28g Warheads Candy $1.75
1x 30ml Warheads Sour Spray Candy $2.40
2x 15g Warheads Sour Bombs $0.50
2x 15g Warheads Cubes $0.53
2x 15g Warheads All Mix Up $0.53
2x 6g Warheads Colossal $0.15",9.5,6.0,1.5833333333333333
Red Rock Deli Regular,"2x 28g Red Rock Deli Potato - Sea Salt $1.30
1x 45g Red Rock Deli Potato - Sweet Chilli & Sour Cream $2.79
1x 45g Red Rock Deli Potato - Sea Salt & Balsamic Vinegar $2.79
1x 28g Red Rock Deli - Honey Soy & Chicken $1.30",9.48,6.0,1.58
Minecraft Backpack Bag,"1x Minecraft Carry Bag $4.95
1x Minecraft Backpack $19.50
1x Minecraft Reversable Beanie $9.95
1x Minecraft Lunch Box $5.95
1x Minecraft Drink Bottle $9.95
1x Minecraft Pen and Pencil Set $4.95",55.25,35.0,1.5785714285714285
Mega Doctor,"1x Doctor’s 17pc Medical Trolley Play Set with Lights & Sound $40.00
1x Doctors dress up set  $15.00",55.0,35.0,1.5714285714285714
Cadbury Crunchie,"9x 15g Bite Size Crunchie $0.60
4x 12g Bite Size Dairy Milk $0.60
SHOW SPECIAL - PURCHASE ANY 3 BAGS FOR $12.00 (FROM THE $5 CADBURY RANGE) 
CHOOSE FROM: 
CADBURY DAIRY MILK $5, CHERRY RIPE $5, TWIRL $5,PICNIC $5,  
TURKISH DELIGHT $5, CURLY WURLY $5, CRUNCHIE $5, FREDDO $5 
CARAMELLO $5, FURRY FRIENDS $5,  ",7.8,5.0,1.56
Cadbury Picnic,"9x 15g Bite Size Picnic  $0.60
4x 12g Bite Size Dairy Milk  $0.60",7.8,5.0,1.56
Mentos,"1x 405g Mentos Bag $4.00
1x 120g Mentos Mini Rainbow (12 pieces) $2.80
2x 37.5g Mentos Circus Fun Rolls $2.20
2x 37.5g Mentos Mystery Rolls $2.20",15.6,10.0,1.56
Trolli,"1x 150g Trolli Brite Crawlers $2.80
1x 16g Trolli Pizza $0.65
2x 30g Trolli Cola Bottles $0.90
2x 19g Trolli Gecko $0.70
2x 9g Trolli Sea Creatures  $0.30
2x 9g Trolli Mini Burgers $0.30
4x 10g Trolli Gummi Bears  $0.30
1x 9g Trolli Hot Dog $0.30",9.35,6.0,1.5583333333333333
Cadbury Dairy Milk Superbag,"1x 150g Cadbury Dairy Milk $4.00
1x 21.5g Curly Wurly $1.00
1x 15g Bite Size Crunchie $0.60
1x 15g Bite Size Cherry Ripe  $0.60
8x 12g Bite Size Dairy Milk $0.60
1x 15g Bite Size Boost  $0.60
1x Playing Cards $2.95
1x 30g Chomp $1.00",15.55,10.0,1.5550000000000002
Batman Bag,"1x Batman Carry Bag $5.95
1x Batman Vest And Cape $12.95
1x Batman Mask $1.95
1x Batman Wrist Cuffs $3.95
1x Batman Walkie Talkie $2.95
1x Batman Projector Torch $2.95
1x Batman Grappling Hook $9.95
1x Batman Kite $5.95",46.6,30.0,1.5533333333333335
Fizzer,"5x 11.6g Fizzer Strawberry Chew Bar  $0.35
3x 11.6g Fizzer Cream Soda Chew Bar  $0.35
5x 11.6g Fizzer Grape Chew Bar $0.35
5x 11.6g Fizzer Sour Strawberry  $0.35
4x 7.4g Fizzer Mini Blue Buzz  $0.25
4x 7.4g Fizzer Mini Strawberry $0.25
4x 7.4g Fizzer Mini Cream Soda $0.25",9.3,6.0,1.55
Dynamite Bubble Gum,"1x Cosmic Giant Gorilla Bubble Gum Stick $3.00
1x Hubba Bubba Outrageous Original $1.00
1x Hubba Bubba Groovy Grape $1.00
1x Hubba Bubba Strawberry $1.00
1x Big Tooth Bubble Gum $2.00
2x Tutti Frutti Crazy Rollz Bubble Gum Tape  $1.00
2x Blueberry Crazy Rollz Bubble Gum Tape $1.00
2x Strawberry Crazy Rollz Bubble Gum Tape $1.00
3x TNT Ka Bluey Bubble Gum Bars $0.25
3x TNT Tutti Frutti Bubble Gum Bars $0.25",15.5,10.0,1.55
Cadbury Big Bite,"1x 350g Dairy Milk $6.00
18x 12g Bite Size Dairy Milk  $0.60
4x 14g Bite Size Twirl $0.60
4x 15g Bite Size Crunchie $0.60
4x 15g Bite Size Boost $0.60
4x 15g Bite Size Picnic $0.60
4x 15g Bite Size Cherry Ripe $0.60
2x 21.5g Curly Wurly $1.00",30.8,20.0,1.54
Pocky,"2x 47g Pocky Sticks Chocolate  $2.20
2x 45g Pocky Sticks Strawberry  $2.20
1x 47g Pocky Sticks Double Chocolate  $2.20
1x 40g Pocky Sticks Cookies & Cream  $2.20
1x 35g Pocky Matcha Green Tea Sticks  $2.20",15.4,10.0,1.54
Cadbury Curly Wurly Superbag,"4x 21.5g Curly Wurly $1.00
1x 110g Curly Wurly Squirlies $5.00
4x 12g Bite Size Dairy Milk $0.60
1x 30g Chomp $1.00
1x Playing Cards $2.95",15.35,10.0,1.535
Fyna Licorice Regular,"1x 50g Licorice Chunks $2.00
1x 50g Licorice Raspberry Bullets $2.00
2x 50g Licorice Fruit Bites $2.00
1x 250g Licorice Milk Chocolate Bullets $3.50",11.5,7.5,1.5333333333333334
Bertie Beetle Blue,"5x Bertie Beetle 10g $0.80
1x Kit Kat 17g $0.60
Spend $35 or more on our Bertie Beetle range to SPIN & WIN prizes from our chocolate wheel, located at the Bertie Beetle Stand in the Showbag Pavilion. ",4.6,3.0,1.5333333333333332
Mars® Family Bag,"5x 16g MARS® FUNSIZE® $0.65
3x 13.5g M&M®FUNSIZE® $0.65
4x 18g SNICKERS® FUNSIZE® $0.65
4x 12g MILKYWAY® FUNSIZE® $0.65
2x 14.5g TWIX®FUNSIZE® $0.65
3x 14g BOUNTY®FUNSIZE® $0.65
13x 12g MALTESERS®FUNSIZE® $0.65
5x 13.5g SKITTLES®Sours FUNSIZE® $0.65
4x 13.l5g SKITTLES®Fruits FUNSIZE® $0.65
4x 13.5g SKITTLES®Wildberry FUNSIZE® $0.65",30.55,20.0,1.5275
Brainlicker,"3x Brainlickers $2.95
1x 15g Fairy Floss $1.20
1x Sticky Hand $2.95
1x Triple Dipper $1.20
2x Wicked Fizz AssortedFlavours $0.50",15.2,10.0,1.52
Spiderman Bag,"1x Spiderman Carry Bag $5.95
1x Spiderman Role Play Vest $12.95
1x Spiderman Mask $3.95
1x Spiderman Gloves $2.95
1x Spiderman Web Spinner $5.95
1x Spiderman Water Game $3.95
1x Spiderman Glider (3pk) $5.95
1x Spiderman Sticky Web $3.95",45.6,30.0,1.52
Wizz Fizz Supa Fizz Bag,"5x Wizz Fizz Sherbets $0.50
8x Wizz Fizz Fizzy Roll  $0.25
1x 125g Big Boss Banana Sticks $2.50
10x Wizz Fizz Fizzy Ball  $0.20",9.0,6.0,1.5
BIG Kit Kat,50x Kit Kat 17g $0.60,30.0,20.0,1.5
Play-Doh Bag,"1x Play-Doh Carry Bag $4.95
1x Play-Doh Messy Mat $5.95
1x Play-Doh Tools $9.95
1x Play-Doh Animal Extrusions $3.95
1x Play-Doh Apron $9.95
5x 4oz Play-Doh Tubs $1.60
1x Pay-Doh 3pk Stickers $1.95",44.7,30.0,1.49
Sourblast,"2x Zappo Sour Tutti Frutti Chews 26g $0.80
1x Zappo Sour  Raspberry Chews 26g $0.80
2x Zappo Sour  Cola Chews 26g $0.80
1x Zappo Millions 75g $1.50
10x Zappo Drops Assorted Flavours $0.20
1x TNT Mega Sour Popping Dip 3 Pack $2.50
1x Cosmic JOOP Slime $3.00
1x Strawberry Thunder Clouds 180g $4.95
1x Karate Roller $0.80
1x 150g TNT Super Sour Chew Balls $5.50
2x Ghost Drops Assorted Flavours 10 Pack $1.50
1x Triple Dipper $1.50
1x Cosmic Sour Powder Finger Pop $1.50
1x Cosmic Super Sour Powder Dip and Stick $2.00
1x TNT Slurp $1.20
1x Big Tooth Sour Bubble Gum $2.50
6x Magic Popping Candy $0.20",37.15,25.0,1.486
Wicked Fizz - Zombie Chews Combo,"7x 12g Berry Wicked Fizz Chew Bar  $0.20
7x 12g Blue Raspberry Wicked Fizz Chew Bar  $0.20
7x 12g Grape Wicked Fizz Chew Bar $0.20
7x 12g Cola Wicked Fizz Chew Bar $0.20
7x 12g Orange Wicked Fizz Chew Bar $0.20
3x 30g Zombie Chews Blue Raspberry  $0.65
3x 30g Zombie Chews Apple $0.65
2x 30g Zombie Chews Strawberry $0.65
2x 30g Zombie Chews Tutti Frutti $0.65
2x 30g Zombie Chews Raspberry Lemonade $0.65",14.8,10.0,1.48
Ninja Showbag,"1x Black ninja mask with gold detail $3.65
1x Black ninja Glove $3.65
1x 2 black and grey flying daggers $3.65
1x Silver dagger with black handle and cover $3.65
1x Silver ninja Star $3.65
1x Pack of 2 swords $3.65
1x Ninja archery set with 6 arrows $24.95",46.85,32.0,1.4640625
Smiths Super Snack Bag,"1x 28g Red Rock Deli - Sea Salt $1.30
1x 28g Red Rock Deli - Honey Soy $1.30
1x 27g Smiths Crinkle Cut - Original $1.30
1x 27g Grain Waves - Sour Cream And Onions $1.30
1x 45g Doritos - Cheese Supreme $2.39
1x 45g Red Rock Deli -  Sweet Chilli  $2.79
1x 45g Twisties - Cheese $2.39
1x 45g Smiths Crinkle Cut - Chicken $2.39
1x 45g Smiths Crinkle Cut - Salt and Vinegar $2.39",17.55,12.0,1.4625000000000001
Avengers Bag,"1x Avengers Carry Bag $5.95
1x Avengers Gliders 3(pk) $5.95
1x Avengers Disc Shooter $9.95
1x Avengers Slideshow Torch $5.95
1x Your Choice of $15.95
Ironman Dressup with Mask,Vest and Gloves 
or Captain America Dressup with Mask,Vest and Gloves 
or Thor Dressup with Mask,Vest and Hammer ",43.75,30.0,1.4583333333333333
Aftershocks,"1x 160g 101 Rainbow Straws $2.80
3x 3g Aftershocks  $0.25
1x 18g Monster Dip $1.20
1x 42.5g  Triple Dipper  $0.80
2x 16g Busters  $0.45
2x 16g Zappo Millions $0.55
2x 18g Fizzy Fun Sherbet Bottles  $0.35
3x 10g Lotsa Pops  $0.10
3x 3g Fruity Chews  $0.05",8.7,6.0,1.45
Super Milkybar,"1x Milkybar 50g $2.20
1x Milkybar Milk & Cookies King Bar 45g $2.75
11x Milkybar Mini 15g  $0.60
2x Bertie Beetle 10g $0.80
1x Cowboy Hat OR Milkybar Cookies & Cream Block 180g OR Milkybar Mini Eggs 110g (Choose one) $10.00",23.15,16.0,1.446875
Smith's Regular Chip Bag,"1x 27g Smith`s Crinkle Cut - Original $1.30
1x 45g Smith`s Crinkle Cut - Chicken $2.39
1x 45g Doritos - Cheese $2.39
1x 27g Grain Waves - Sour Cream And Onion $1.30
1x 27g Smiths`s Crinkle Cut - Salt & Vinegar $1.30",8.68,6.0,1.4466666666666665
Arnott's Biscuits,"1x Arnott's Monte Carlo Original 250g $3.50
1x Arnott's TeeVee Snack Malt Sticks 175g $4.50
1x Arnott's Chocolate Mint Slice 200g $4.50
1x Arnott's Scotch Finger 50% Less Sugar 232g $5.65
1x Shortbread Cream 250g $3.50",21.65,15.0,1.4433333333333331
Cadbury Twirl,"7x 14g Bite Size Twirl $0.60
5x 12g Bite Size Dairy Milk $0.60",7.2,5.0,1.44
Cadbury Caramello Koala,"6x 15g Caramello Koala $0.70
5x 12g Bite Size Dairy Milk $0.60
SHOW SPECIAL - PURCHASE ANY 3 BAGS FOR $12.00 (FROM THE $5 CADBURY RANGE) 
CHOOSE FROM: 
CADBURY DAIRY MILK $5, CHERRY RIPE $5, TWIRL $5,PICNIC $5,  
TURKISH DELIGHT $5, CURLY WURLY $5, CRUNCHIE $5, FREDDO $5 
CARAMELLO $5, FURRY FRIENDS $5 ",7.2,5.0,1.44
Milkyway® Super Bag,"18x 12g MILKYWAY® FUNSIZE® $0.60
2x 14g TWIX® FUNSIZE® $0.60
2x 13.5g M&M'S® FUNSIZE® $0.60
2x 12g MALTESERS® FUNSIZE® $0.60",14.4,10.0,1.44
Ferrero Rocher,"1x Ferrero Rocher 16 Pack $14.00
1x Ferrero Rocher 5 Pack $4.75
2x Ferrero Rocher 3 Pack $2.50
2x Raffaello 3 Pack $2.50",28.75,20.0,1.4375
All American,"1x Lays Snax Mesquite BBQ $5.95
1x Lays Snax XTRA Flamin' Hot $5.95
1x Dr Pepper Soda $3.50
1x Ohana Soda $3.50
1x Twinkie $2.50
1x Abba Zabba Bar $4.00
1x Kit Kat Limited Edition Blueberry Muffin $4.00
1x Big Hunk Chocolate Bar $4.50
1x Zagnut Chocolate Bar $4.00
1x Pop Tarts 2 Pack $5.00",42.9,30.0,1.43
Mega Cop,"1x B/O Machine gun $25.00
1x Cop play set with guns and helmet $25.00",50.0,35.0,1.4285714285714286
Mega Glamour,"1x 12pc Fashion Doll Dress Up and Roll Play Set $25.00
1x Cosmetic Roll Play Set  $10.00
1x Deluxe Cosmetic Roll Play Set $15.00",50.0,35.0,1.4285714285714286
Mega Chef,"1x Chefs pants, jacket and hat $25.00
1x Chefs BBQ set with accessories  $25.00",50.0,35.0,1.4285714285714286
Nestlé Big Family Deal,"1x Kit Kat Showbag containing 12 x Kit Kat 17g $7.20
1x Smarties Showbag containing 8 x Smarties 11g $4.80
1x Snakes Alive Showbags containing 1 x Snakes Alive (Family Size) 450g $5.50
1x Milkybar Showbag containing 8 x Milkybar 11g $4.80
1x Bertie Beetle Blue Showbag containing 5 x Bertie Beetle 10g and 1 x Kit Kat 17g $4.60
1x Bertie Beetle Gold Showbag containing 11 x Bertie Beetle 10g $8.80",35.7,25.0,1.4280000000000002
